"Grupo","Endpoint","Rota","Descricao","Obrigatorios","Opcionais"
"Auxiliares","municipios","/municipios","Municípios","","codigo_municipio,nome_municipio,codigo_municipio_ibge,codigo_municipio_geonames,$format,$count,$start_index"
"Auxiliares","funcoes","/funcoes","Funções","","codigo_funcao,nome_funcao,$format,$count,$start_index"
"Auxiliares","tipos_unidades_administrativas","/tipos_unidades_administrativas","Tipos de Unidades Administrativas","","codigo_tipo_unidade_administrativa,nome_tipo_unidade_administrativa,$format,$count,$start_index"
"Documentação de Informações Básicas (BAS)","gestores","/gestores","Gestores","codigo_municipio,exercicio_orcamento","codigo_unidade_gestora,codigo_orgao,codigo_unidade_orcamentaria,data_referencia_doc,$format,$count,$start_index"
"Documentação de Informações Básicas (BAS)","orgaos","/orgaos","Órgãos","codigo_municipio,exercicio_orcamento","codigo_orgao,$format,$count,$start_index"
"Documentação de Informações Básicas (BAS)","unidades_orcamentarias","/unidades_orcamentarias","Unidades Orçamentárias","codigo_municipio,exercicio_orcamento","codigo_orgao,codigo_unidade_orcamentaria,$format,$count,$start_index"
"Documentação de Informações Básicas (BAS)","contas_bancarias_municipio","/contas_bancarias_municipio","Contas Bancárias do Município","codigo_municipio,exercicio_orcamento","codigo_orgao,codigo_unidade_orcamentaria,$format,$count,$start_index"
"Documentação de Informações Básicas (BAS)","contas_extra_orcamentarias","/contas_extra_orcamentarias","Contas Extra-Orçamentárias","codigo_municipio,exercicio_orcamento","$format,$count,$start_index"
"Documentação de Informações Básicas (BAS)","unidades_gestoras","/unidades_gestoras","Unidades Gestoras","codigo_municipio,exercicio_orcamento","codigo_unidade_gestora,codigo_orgao,codigo_unidade_orcamentaria,$format,$count,$start_index"
"Documentação de Informações Básicas (BAS)","ordenadores_despesas","/ordenadores_despesas","Ordenadores de Despesas","codigo_municipio,exercicio_orcamento","codigo_unidade_gestora,codigo_orgao,codigo_unidade_orcamentaria,$format,$count,$start_index"
"Documentação de Informações Básicas (BAS)","empresas_estatais","/empresas_estatais","Empresas Estatais","codigo_municipio,exercicio_orcamento","$format,$count,$start_index"
"Documentação referente ao Orçamento Municipal (ORC)","dados_orcamentos","/dados_orcamentos","Dados dos Orçamentos","codigo_municipio,exercicio_orcamento","$format,$count,$start_index"
"Documentação referente ao Orçamento Municipal (ORC)","orcamento_receita","/orcamento_receita","Orçamento de Receita","codigo_municipio,exercicio_orcamento","codigo_orgao,codigo_unidade_orcamentaria,$format,$count,$start_index"
"Documentação referente ao Orçamento Municipal (ORC)","orcamento_despesa","/orcamento_despesa","Orçamento de Despesa","codigo_municipio,exercicio_orcamento","codigo_orgao,codigo_unidade_orcamentaria,$format,$count,$start_index"
"Documentação referente ao Orçamento Municipal (ORC)","orcamento_despesas_projetos_atividades","/orcamento_despesas_projetos_atividades","Orçamento de Despesas por Projetos e Atividades","codigo_municipio,exercicio_orcamento","codigo_orgao,codigo_unidade_orcamentaria,$format,$count,$start_index"
"Documentação referente ao Orçamento Municipal (ORC)","elementos_despesas_projetos_atividades","/elementos_despesas_projetos_atividades","Elementos de Despesas por Projetos e Atividades","codigo_municipio,exercicio_orcamento","codigo_orgao,codigo_unidade_orcamentaria,$format,$count,$start_index"
"Documentação referente ao Orçamento Municipal (ORC)","programas_governo","/programas_governo","Programas de Governo","codigo_municipio,exercicio_orcamento","$format,$count,$start_index"
"Documentação referente aos Balancetes (BAL)","balancetes_receitas_orcamentarias","/balancetes_receitas_orcamentarias","Balancetes de Receitas Orçamentárias","codigo_municipio,exercicio_orcamento,data_referencia_doc","codigo_orgao,codigo_unidade_orcamentaria,$format,$count,$start_index"
"Documentação referente aos Balancetes (BAL)","balancetes_despesas_orcamentarias","/balancetes_despesas_orcamentarias","Balancetes de Despesas Orçamentárias","codigo_municipio,exercicio_orcamento,data_referencia_doc","codigo_orgao,codigo_unidade_orcamentaria,$format,$count,$start_index"
"Documentação referente aos Balancetes (BAL)","balancetes_receitas_extra_orcamentarias","/balancetes_receitas_extra_orcamentarias","Balancetes de Receitas Extra-Orçamentárias","codigo_municipio,exercicio_orcamento,data_referencia_doc","codigo_orgao,codigo_unidade_orcamentaria,$format,$count,$start_index"
